NAME,Median_Income,Child_Poverty_Count,Child_Poverty_Rate,Poverty_Count,Poverty_Rate,All_Child_Poverty_Count,All_Poverty_Count,STABREV,STATE,YEAR,Z_score
Alabama,42882,300649,27.4,889091,18.9,1096240,4716072,AL,1,2013,1.7872460934489216
Alaska,70058,25030,13.6,72643,10.1,184278,718370,AK,2,2013,-1.0238144488456271
Arizona,48504,422435,26.6,1206948,18.6,1590036,6477186,AZ,4,2013,1.6914144840525174
Arkansas,40605,197129,28.3,557399,19.4,695853,2873346,AR,5,2013,1.9469654424429301
California,60185,2119056,23.5,6328064,16.8,9030489,37593095,CA,6,2013,1.1164248276740867
Colorado,58942,204866,16.8,665351,12.9,1222544,5151496,CO,8,2013,-0.1293860944791795
Connecticut,67262,112225,14.5,373387,10.7,775350,3485349,CT,9,2013,-0.8321512300528171
Delaware,58244,38254,19.1,115774,12.9,200641,900322,DE,10,2013,-0.1293860944791795
District of Columbia,66326,32071,29.3,115096,18.8,109630,611783,DC,11,2013,1.7553022236501206
Florida,46021,982272,24.8,3268130,17.1,3953274,19129965,FL,12,2013,1.212256437070492
Georgia,47765,655194,26.7,1849944,19.0,2454092,9720922,GA,13,2013,1.8191899632477238
Hawaii,67798,43574,14.4,153375,11.2,302288,1367661,HI,15,2013,-0.6724318810588087
Idaho,46621,81389,19.2,246708,15.6,422898,1582907,ID,16,2013,0.733098390088466
Illinois,56212,613204,20.6,1841996,14.6,2975854,12576676,IL,17,2013,0.41365969210044906
Indiana,47508,339807,21.9,1008411,15.8,1551479,6367955,IN,18,2013,0.7969861296860697
Iowa,52286,114304,16.0,377037,12.6,712692,2991661,IA,19,2013,-0.22521770387558482
Kansas,50892,131251,18.4,391718,13.9,713209,2811674,KS,20,2013,0.19005260350883743
Kentucky,43307,253390,25.5,803044,18.8,994801,4266545,KY,21,2013,1.7553022236501206
Louisiana,44234,311059,28.4,897284,20.0,1097099,4494987,LA,22,2013,2.1386286612357406
Maine,47095,46645,18.2,181386,14.0,255840,1293815,ME,23,2013,0.22199647330763903
Maryland,72482,184220,13.9,591457,10.2,1325914,5788168,MD,24,2013,-0.9918705790468256
Massachusetts,66794,222666,16.2,770922,11.9,1372553,6456504,MA,25,2013,-0.4488247924671965
Michigan,48200,522365,23.7,1646038,17.0,2199928,9669494,MI,26,2013,1.1803125672716899
Minnesota,60664,176274,14.0,592526,11.2,1255450,5292405,MN,27,2013,-0.6724318810588087
Mississippi,38191,246458,34.0,692058,23.9,725052,2893762,MS,28,2013,3.3844395833890064
Missouri,46905,303923,22.2,928778,15.8,1367104,5861018,MO,29,2013,0.7969861296860697
Montana,46893,45588,20.8,159248,16.1,219248,990608,MT,30,2013,0.8928177390824751
Nebraska,51502,77850,17.1,234742,12.9,456306,1815562,NE,31,2013,-0.1293860944791795
Nevada,51250,147638,22.7,433267,15.8,651285,2750482,NV,32,2013,0.7969861296860697
New Hampshire,64064,29059,10.9,115146,9.0,265467,1281175,NH,33,2013,-1.3751970166324456
New Jersey,70224,329140,16.5,995390,11.4,1998029,8720993,NJ,34,2013,-0.608544141461205
New Mexico,44026,151127,30.1,437923,21.4,502248,2045405,NM,35,2013,2.585842838418964
New York,57255,956127,22.9,3068230,16.0,4167553,19133973,NY,36,2013,0.8608738692836729
North Carolina,45946,563572,25.1,1711331,17.8,2247397,9588243,NC,37,2013,1.4358635256621037
North Dakota,56800,19962,12.4,81055,11.6,160537,698176,ND,38,2013,-0.5446564018636018
Ohio,48138,589871,22.7,1793523,15.9,2602025,11248737,OH,39,2013,0.8289299994848713
Oklahoma,45724,221024,23.8,624209,16.7,929261,3735214,OK,40,2013,1.0844809578752845
Oregon,50228,181281,21.6,637505,16.5,839884,3852906,OR,41,2013,1.0205932182776813
Pennsylvania,52005,513048,19.2,1687854,13.7,2665218,12353267,PA,42,2013,0.12616486391123372
Rhode Island,55015,46149,22.0,148275,14.7,209869,1010806,RI,44,2013,0.44560356189925066
South Carolina,44310,290346,27.3,858553,18.5,1063159,4631792,SC,45,2013,1.6594706142537152
South Dakota,49200,37646,18.6,114291,14.0,202610,815064,SD,46,2013,0.22199647330763903
Tennessee,44268,388141,26.5,1128618,17.8,1467283,6335301,TN,47,2013,1.4358635256621037
Texas,51714,1739298,25.0,4531427,17.5,6953957,25834186,TX,48,2013,1.3400319162656984
Utah,59715,129261,14.6,360119,12.6,883310,2851584,UT,49,2013,-0.22521770387558482
Vermont,52511,18412,15.2,73947,12.3,120737,602556,VT,50,2013,-0.3210493132719896
Virginia,62745,289032,15.7,941059,11.7,1835642,8010546,VA,51,2013,-0.5127125320648002
Washington,58431,291841,18.6,963088,14.1,1566154,6836264,WA,53,2013,0.2539403431064406
West Virginia,41195,97201,26.3,331674,18.4,370258,1798289,WV,54,2013,1.627526744454913
Wisconsin,51474,236308,18.4,753709,13.5,1284376,5593184,WI,55,2013,0.06227712431363054
Wyoming,58424,18331,13.5,62118,10.9,135769,569330,WY,56,2013,-0.7682634904552135
Alabama,42917,298682,27.4,905682,19.2,1091420,4727546,AL,1,2014,1.883077702845327
Alaska,70898,28273,15.5,81622,11.4,182233,717708,AK,2,2014,-0.608544141461205
Arizona,50036,406457,25.6,1195889,18.2,1589975,6573428,AZ,4,2014,1.5636390048573099
Arkansas,41335,183334,26.3,539999,18.7,696524,2882846,AR,5,2014,1.7233583538513184
California,61927,2040811,22.6,6253423,16.4,9017054,38060226,CA,6,2014,0.9886493484788793
Colorado,61324,191679,15.6,632987,12.1,1229395,5237165,CO,8,2014,-0.3849370528695933
Connecticut,70007,113733,14.9,375281,10.8,764912,3485626,CT,9,2014,-0.800207360254015
Delaware,59853,38543,19.2,118032,13.0,201039,909603,DE,10,2014,-0.09744222468037793
District of Columbia,69992,32807,28.9,114790,18.4,113547,624323,DC,11,2014,1.627526744454913
Florida,47439,962857,24.2,3231142,16.6,3984878,19470220,FL,12,2014,1.0525370880764835
Georgia,49240,646960,26.3,1802783,18.4,2456276,9823818,GA,13,2014,1.627526744454913
Hawaii,69549,45637,15.2,158266,11.5,300993,1379800,HI,15,2014,-0.5766002716624034
Idaho,47572,80668,19.0,237604,14.8,424188,1603065,ID,16,2014,0.4775474316980528
