State,PWSName,County
PR,GURABO URBANO,Rincón
GA,CUMMING,Forsyth County
IA,ASBURY MUNICIPAL WATER SYSTEM,Dubuque County
OK,MUSKOGEE,Muskogee County
TX,Lake Cities Municipal Utility Authority,Denton County
CA,Paso Robles Water Department,San Luis Obispo County
NY,CLIFTON PARK WATER AUTHORITY,Saratoga County
VT,Jay Peak Basin Complex,Orleans County
NH,UNH - Durham Water System,Strafford County
AK,Wasilla Water System,Matanuska-Susitna
AK,Seward,Kenai Peninsula Borough
AK,Golden Heart Utilities,Fairbanks North Star Borough
AK,College Utilities Corporation,Fairbanks North Star Borough
AK,Fort Wainwright WTP,Fairbanks North Star Borough
AK,USAF Elmendorf AFB,Anchorage Municipality
AK,Girdwood Water System,Anchorage Municipality
AK,Juneau,Juneau
AK,Municipality of Anchorage,Anchorage Municipality
AK,Homer Water System,Kenai Peninsula Borough
AK,Teck Cominco AK Mine PAC,Anchorage Municipality
AK,MOA MUNICIPALITY OF ANCHORAGE,Anchorage Municipality
AK,JBER-ELMENDORF,Anchorage Municipality
AK,DOYON UTILITIES JBER - RICHARDSON,Fairbanks North Star Borough
AK,WASILLA WATER SYSTEM,Matanuska-Susitna
AK,PALMER WATER SYSTEM,Boulder County
AK,SEWARD,Kenai Peninsula Borough
AK,KODIAK WATER SYSTEM,Kodiak Island Borough
AK,UNALASKA WATER SYSTEM,Aleutians West Census Area
AK,VALDEZ WATER SYSTEM - MAIN,Chugach
AK,UNIVERSITY OF ALASKA - FAIRBANKS,Fairbanks North Star Borough
AK,EIELSON - AIR FORCE BASE,Fairbanks North Star Borough
AK,CITY AND BOROUGH OF JUNEAU,Juneau
AK,VALLI VUE S/D WATER SYSTEM,Matanuska-Susitna
AK,KENAI WATER SYSTEM,Kenai Peninsula Borough
AK,SOLDOTNA,Kenai Peninsula Borough
AK,CORDOVA CITY WATER,Chugach
AK,NORTH POLE UTILITIES,Fairbanks North Star Borough
AK,GOLDEN HEART UTILITIES,Fairbanks North Star Borough
AK,COLLEGE UTILITIES CORPORATION,Fairbanks North Star Borough
AK,FT WAINWRIGHT - MAIN POST,Fairbanks North Star Borough
AK,"BARROW UTILITIES & ELEC. COOP., INC. (BU",North Slope Borough
AK,FT. GREELY / DU / ALLEN ARMY AIRFIELD,Southeast Fairbanks
AL,Utilities Board of the City of Daphne,Baldwin County
AL,City of Fairhope Water System,Baldwin County
AL,"Orange Beach Water, Sewer & Fire Protection Auth.",Baldwin County
AL,Eufaula Waterworks,Barbour County
AL,Oneonta Utilities Board,Blount County
AL,East Alabama Water & Fire Protection District,Chambers County
AL,Lanett Waterworks,Chambers County
AL,Heflin Waterworks,Cleburne County
AL,Muscle Shoals Utility Board,Colbert County
AL,Tuscumbia Waterworks,Colbert County
AL,Cullman County Water Department,Cullman County
AL,East Cullman Water System,Cullman County
AL,Selma Waterworks & Sewer Board,Dallas County
AL,South Dallas Water Authority,Dallas County
AL,Central Elmore Water Authority,Elmore County
AL,Utilities Board of the City of Atmore,Escambia County
AL,Rainbow City Utilities Board,Etowah County
AL,Southside Waterworks,Etowah County
AL,Russellville Waterworks,Franklin County
AL,Birmingham Waterworks Board,Jefferson County
AL,Leeds Water Board,Jefferson County
AL,Trussville Utilities,Jefferson County
AL,Warrior River Water Authority,Jefferson County
AL,Kennedy Waterworks Board,Jefferson County
AL,Florence Water-Wastewater Department,Lauderdale County
AL,West Lauderdale Co. Water & Fire Protection Auth.,Lauderdale County
AL,Auburn Waterworks,Lee County
AL,Opelika Utilities,Lee County
AL,Smiths Water & Sewer Authority,Lee County
AL,Athens Utilities,Limestone County
AL,Tuskegee Utilities Board,Macon County
AL,Water & Fire Protection Authority of Douglas,Marshall County
AL,Guntersville Waterworks & Sewer Board,Marshall County
AL,South Alabama Utilities Water System,Mobile County
AL,Mobile County Water & Fire Protection Authority,Mobile County
AL,Mobile Board of Water & Sewer Comm.,Mobile County
AL,Saraland Water Service,Mobile County
AL,Montgomery Waterworks,Montgomery County
AL,West Morgan - East Lawrence Water Authority,Morgan County
AL,Marion Water Department,Perry County
AL,Alabaster Water Board,Shelby County
AL,Calera Waterworks,Shelby County
AL,Columbiana Waterworks,Shelby County
AL,Helena Utility Board,Shelby County
AL,Pell City Waterworks,St. Clair County
AL,Greenhill Water & Fire Pro Authority,Lauderdale County
AL,Curry Water Authority,Walker County
AL,American Water - Fort Rucker,Dale County
AL,Carrolls Creek Water Authority,Tuscaloosa County
AL,Waterworks Board of Prattville,Autauga County
AL,Utilities Board of the City of Foley,Baldwin County
AL,Calhoun County Water & Fire Protection Authority,Calhoun County
AL,Anniston Water & Sewer Board,Calhoun County
AL,Jacksonville Utilities,Calhoun County
AL,Cherokee County Water Authority,Cherokee County
AL,Clanton Water Department,Chilton County
AL,Chilton Water Authority,Chilton County
AL,Enterprise Waterworks,Coffee County
AL,Colbert County Rural Water System,Colbert County
AL,Sheffield Utilities Department,Colbert County
AL,Utilities Board of Andalusia,Covington County
AL,Covington County Water Authority,Covington County
AL,Opp Utilities Board,Covington County
AL,"VAW Water System, Inc.",Cullman County
AL,Ozark Utilities Board,Dale County
AL,Fort Payne Waterworks Board,DeKalb County
AL,Tri Community Water System,Elmore County
AL,Gadsden Waterworks & Sewer Board,Etowah County
AL,Headland Waterworks,Henry County
AL,City of Dothan Utilities,Houston County
AL,Section-Dutton Water System,DeKalb County
AL,Scottsboro Waterworks,Jackson County
AL,Bessemer Water Service,Jefferson County
AL,West Lawrence Water Co-op,Lawrence County
AL,Loachapoka Water Authority,Lee County
AL,Limestone County Water System,Limestone County
AL,Harvest-Monrovia Water System,Madison County
AL,Huntsville Utilities,Madison County
AL,Madison Waterworks & Sewer,Madison County
AL,Albertville Utilities Board,Marshall County
AL,Arab Waterworks Board,Marshall County
AL,Boaz Water & Sewer Board,Marshall County
AL,Prichard Waterworks Board,Mobile County
AL,Municipal Utilities Board of Decatur,Morgan County
AL,Hartselle Utility Board,Morgan County
AL,NE Morgan Co. Water & Sewer Authority,Morgan County
AL,Uniontown Utilities Board,Perry County
AL,Pickens County Water & Fire Protection Authority,Pickens County
AL,City of Troy Utilities,Pike County
AL,Phenix City Utilities,Russell County
AL,Russell County Water Authority,Russell County
AL,Pelham Waterworks,Shelby County
AL,Utilities Board of the Town of Odenville,St. Clair County
AL,Pinedale Shores WSFPA,St. Clair County
AL,Sumter County Water Authority,Sumter County
AL,Sylacauga Utilities Board,Talladega County
AL,City of Talladega Water & Sewer Board,Talladega County
AL,Alexander City Water Department,Tallapoosa County
AL,Northport Waterworks,Tuscaloosa County
AL,Jasper Utilities Board,Walker County
AL,Townley Water Authority,Walker County
AL,Double Springs Waterworks,Winston County
AL,Haleyville Waterworks & Sewer Board,Winston County
AL,Northeast Alabama Water System,DeKalb County
AL,Franklin County Water Services Authority,Franklin County
AL,Butler County Water Authority,Butler County
AL,Shelby County Water System,Shelby County
AL,North Baldwin Utilities,Baldwin County
AL,Utilities Board of the City of Gulf Shores,Baldwin County
AL,Town of Allgood Waterworks,Blount County
AL,Oxford Waterworks & Sewer Board,Calhoun County
AL,Hawk Pride Mt. Water System,Colbert County
AL,Dallas County Water & Sewer Authority,Dallas County
AL,Elmore Water Authority,Elmore County
AL,Mulga Waterworks & Gas Department,Jefferson County
AL,Madison County Water Department,Madison County
AL,US Army Aviation & Missile Command,Madison County
AL,Demopolis Waterworks & Sewer Board,Marengo County
AL,Brundidge Water Department,Pike County
AL,Pike County Water Authority,Pike County
AL,Tuscaloosa Water & Sewer,Tuscaloosa County
AL,West Autauga Water Authority,Autauga County
AL,Blount County Water,Blount County
AL,City of Cullman Waterworks,Cullman County
AL,"MARBURY WATER SYSTEM, INC.",Autauga County
AL,NORTH BALDWIN UTILITIES,Baldwin County
AL,BELFOREST WATER SYSTEM,Baldwin County
AL,LOXLEY,Baldwin County
AL,"ORANGE BEACH WATER, SEWER AND F.P.A.",Baldwin County
AL,"WHITE HOUSE WATER SYSTEM, INC.",Baldwin County
AL,BAKERHILL WATER AUTHORITY,Barbour County
AL,CLIO WATER WORKS,Barbour County
AL,BRENT UTILITIES BOARD,Bibb County
AL,CENTREVILLE WATER & SEWER,Bibb County
AL,GREEN POND WATER SYSTEM,Bibb County
AL,BLOUNTSVILLE UTILITIES BOARD,Blount County
AL,ONEONTA UTILITIES BOARD,Blount County
AL,GREENVILLE WATER WORKS,Butler County
AL,EAST ALABAMA WATER & FIRE PRO DISTRICT,Chambers County
AL,"LAFAYETTE WATER WORKS, AL",Boulder County
AL,LANETT WATER WORKS,Chambers County
AL,BEULAH UTILITIES DISTRICT,Lee County
AL,CEDAR BLUFF UTILITIES BOARD,Cherokee County
AL,CHEROKEE COUNTY WATER AUTHORITY,Cherokee County
AL,BUTLER WATER SYSTEM,Butler County
AL,GILBERTOWN,Choctaw County
AL,THOMASVILLE WATER WORKS & SEWER BOARD,Clarke County
AL,HEFLIN WATER WORKS,Cleburne County
AL,ENTERPRISE WATER WORKS,Coffee County
AL,COLBERT COUNTY RURAL WATER SYSTEM,Colbert County
AL,EVERGREEN WATER WORKS,Conecuh County
AL,ANDALUSIA,Covington County
AL,COVINGTON COUNTY WATER AUTHORITY,Covington County
AL,SOUTH CRENSHAW COUNTY WATER AUTHORITY,Crenshaw County
AL,HANCEVILLE,Cullman County
AL,WEST DALLAS CO WATER AUTHORITY,Dallas County
AL,SOUTH DALLAS WATER AUTHORITY,Dallas County
AL,ECLECTIC WATER WORKS & SEWER BOARD,Elmore County
AL,ELMORE WATER & SEWER AUTHORITY,Elmore County
AL,FRIENDSHIP WATER WORKS,Elmore County
AL,HOLTVILLE WATER SYSTEM,Elmore County
AL,CENTRAL ELMORE WATER AUTHORITY,Elmore County
AL,WEST ESCAMBIA UTILITIES INC.,Escambia County
AL,BREWTON WATER WORKS,Escambia County
AL,RIVERVIEW WATER WORKS,Wayne County
AL,ATTALLA WATER WORKS BOARD,Etowah County
AL,GADSDEN WATER WORKS AND SEWER BOARD,Etowah County
AL,HOKES BLUFF WATER BOARD,Etowah County
AL,FAYETTE CO. WATER COORD. & F. P. A.,Fayette County
AL,FAYETTE WATER WORKS BOARD,Fayette County
AL,RUSSELLVILLE WATER WORKS,Franklin County
AL,HARTFORD WATER WORKS,Ohio County
AL,SLOCOMB WATER WORKS AND SEWER BOARD,Geneva County
AL,COTTONWOOD WATER WORKS,Houston County
AL,TAYLOR WATER SYSTEM,Houston County
AL,BRIDGEPORT UTILITIES BOARD,Jackson County
AL,SCOTTSBORO WATER WORKS,Jackson County
AL,IRONDALE WATER SYSTEM,Jefferson County
